"Date/Time","Lat","Lon"
"2014-04-01 07:07:00","40.7732","-73.9504"
"2014-04-01 07:08:00","40.7335","-74.0043"
"2014-04-01 07:08:00","40.7754","-73.9782"
"2014-04-01 07:09:00","40.7752","-73.9455"
"2014-04-01 07:09:00","40.7243","-74.0021"
"2014-04-01 07:09:00","40.7786","-73.9512"
"2014-04-01 07:11:00","40.7877","-73.9788"
"2014-04-01 07:12:00","40.8674","-73.8822"
"2014-04-01 07:14:00","40.7678","-73.9704"
"2014-04-01 07:15:00","40.7749","-73.9587"
"2014-04-01 07:15:00","40.7209","-73.9813"
"2014-04-01 07:17:00","40.756","-73.9752"
"2014-04-01 07:17:00","40.7923","-73.9676"
"2014-04-01 07:20:00","40.739","-73.9991"
"2014-04-01 07:21:00","40.7273","-73.9797"
"2014-04-01 07:22:00","40.7751","-73.9475"
"2014-04-01 07:22:00","40.7406","-73.9983"
"2014-04-01 07:23:00","40.8364","-74.1461"
"2014-04-01 07:24:00","40.7452","-73.991"
"2014-04-01 07:25:00","40.7805","-73.9481"
"2014-04-01 07:25:00","40.7805","-73.9481"
"2014-04-01 07:26:00","40.7814","-73.9513"
"2014-04-01 07:26:00","40.7864","-73.9699"
"2014-04-01 07:27:00","40.783","-73.9559"
"2014-04-01 07:28:00","40.7582","-73.9928"
"2014-04-01 07:29:00","40.7216","-74.0046"
"2014-04-01 07:29:00","40.7298","-73.9988"
"2014-04-01 07:29:00","40.7746","-73.956"
"2014-04-01 07:30:00","40.7208","-73.994"
"2014-04-01 07:32:00","40.7669","-73.9617"
"2014-04-01 07:32:00","40.7084","-74.0064"
"2014-04-01 07:35:00","40.7425","-73.9942"
"2014-04-01 07:35:00","40.7424","-73.9838"
"2014-04-01 07:35:00","40.7724","-73.955"
"2014-04-01 07:37:00","40.7787","-73.9559"
"2014-04-01 07:38:00","40.7752","-73.9637"
"2014-04-01 07:38:00","40.7754","-73.95"
"2014-04-01 07:38:00","40.7368","-74.0044"
"2014-04-01 07:40:00","40.7174","-73.9924"
"2014-04-01 07:42:00","40.7305","-73.9934"
"2014-04-01 07:45:00","40.7747","-73.9613"
"2014-04-01 07:45:00","40.7229","-73.994"
"2014-04-01 07:46:00","40.7396","-73.981"
"2014-04-01 07:46:00","40.725","-73.9994"
"2014-04-01 07:50:00","40.695","-74.1774"
"2014-04-01 07:51:00","40.719","-74.0064"
"2014-04-01 07:51:00","40.8271","-73.9726"
"2014-04-01 07:53:00","40.7793","-73.9495"
"2014-04-01 07:54:00","40.7266","-73.9801"
"2014-04-01 07:55:00","40.6922","-74.1811"
"2014-04-01 07:56:00","40.7418","-74.0074"
"2014-04-01 07:56:00","40.7108","-73.9845"
"2014-04-01 07:57:00","40.7857","-73.9802"
"2014-04-01 07:59:00","40.7757","-73.9502"
"2014-04-01 08:01:00","40.7514","-73.9699"
"2014-04-01 08:02:00","40.7343","-73.9936"
"2014-04-01 08:05:00","40.734","-74.0094"
"2014-04-01 08:05:00","40.718","-74.0099"
"2014-04-01 08:07:00","40.7287","-73.9805"
"2014-04-01 08:08:00","40.758","-73.9707"
"2014-04-01 08:08:00","40.692","-74.1813"
"2014-04-01 08:08:00","40.778","-73.9487"
"2014-04-01 08:08:00","40.7658","-73.9692"
"2014-04-01 08:08:00","40.7222","-74.0104"
"2014-04-01 08:10:00","40.7329","-73.9881"
"2014-04-01 08:11:00","40.7659","-73.9766"
"2014-04-01 08:16:00","40.7789","-73.9618"
"2014-04-01 08:18:00","40.789","-73.9743"
"2014-04-01 08:19:00","40.7617","-73.9843"
"2014-04-01 08:19:00","40.7214","-73.9475"
"2014-04-01 08:20:00","40.7595","-73.9913"
"2014-04-01 08:21:00","40.7931","-73.9748"
"2014-04-01 08:21:00","40.7371","-74.0004"
"2014-04-01 08:22:00","40.7345","-73.996"
"2014-04-01 08:24:00","40.7747","-73.9912"
"2014-04-01 08:24:00","40.8822","-73.9211"
"2014-04-01 08:25:00","40.762","-73.9787"
"2014-04-01 08:25:00","40.762","-73.9787"
"2014-04-01 08:27:00","40.7326","-74.0038"
"2014-04-01 08:28:00","40.7555","-73.9737"
"2014-04-01 08:28:00","40.7596","-73.9854"
"2014-04-01 08:29:00","40.6904","-74.1778"
"2014-04-01 08:29:00","40.6904","-74.1778"
"2014-04-01 08:30:00","40.7408","-73.9914"
"2014-04-01 08:32:00","40.6819","-73.9358"
"2014-04-01 08:32:00","40.7624","-73.9714"
"2014-04-01 08:36:00","40.7805","-73.9548"
"2014-04-01 08:39:00","40.7889","-73.9542"
"2014-04-01 08:42:00","40.7835","-73.9513"
"2014-04-01 08:43:00","40.7651","-73.9617"
"2014-04-01 08:43:00","40.7261","-73.9918"
"2014-04-01 08:44:00","40.7303","-73.9937"
"2014-04-01 08:44:00","40.8736","-74.0628"
"2014-04-01 08:45:00","40.724","-73.9981"
"2014-04-01 08:46:00","40.7744","-73.9578"
"2014-04-01 08:49:00","40.7607","-73.9861"
"2014-04-01 08:49:00","40.7749","-73.9841"
"2014-04-01 08:51:00","40.7625","-73.9724"
"2014-04-01 08:52:00","40.7377","-73.9965"
"2014-04-01 08:54:00","40.7388","-74.0087"
"2014-04-01 08:56:00","40.7677","-73.981"
"2014-04-01 08:58:00","40.7691","-73.9652"
"2014-04-01 08:58:00","40.7816","-73.9602"
"2014-04-01 08:58:00","40.7739","-73.8717"
"2014-04-01 09:00:00","40.7841","-73.9542"
"2014-04-01 09:02:00","40.7426","-73.9963"
"2014-04-01 09:05:00","40.771","-73.8669"
"2014-04-01 09:06:00","40.775","-73.9888"
"2014-04-01 09:07:00","40.7356","-74.0029"
"2014-04-01 09:08:00","40.7666","-73.9784"
"2014-04-01 09:10:00","40.7118","-73.9499"
"2014-04-01 09:12:00","40.7097","-74.0153"
"2014-04-01 09:15:00","40.7438","-74.0061"
"2014-04-01 09:16:00","40.76","-73.9861"
"2014-04-01 09:16:00","40.7752","-73.9635"
"2014-04-01 09:23:00","40.7788","-73.956"
"2014-04-01 09:24:00","40.8078","-73.9639"
"2014-04-01 09:24:00","40.7631","-73.9784"
"2014-04-01 09:25:00","40.7788","-73.951"
"2014-04-01 09:25:00","40.7714","-73.9594"
"2014-04-01 09:28:00","40.7694","-73.983"
"2014-04-01 09:30:00","40.733","-73.9901"
"2014-04-01 09:32:00","40.7412","-73.9878"
"2014-04-01 09:35:00","40.7526","-73.975"
"2014-04-01 09:38:00","40.7602","-73.9598"
"2014-04-01 09:42:00","40.773","-73.9669"
"2014-04-01 09:46:00","40.7628","-73.9948"
"2014-04-01 09:46:00","40.7752","-73.9636"
"2014-04-01 09:48:00","40.7283","-74.0071"
"2014-04-01 09:49:00","40.7195","-74.0367"
"2014-04-01 09:49:00","40.7195","-74.0367"
"2014-04-01 09:52:00","40.7747","-73.9911"
"2014-04-01 09:52:00","40.7401","-73.992"
"2014-04-01 09:54:00","40.7686","-73.9698"
"2014-04-01 09:54:00","40.7336","-73.9982"
"2014-04-01 09:55:00","40.7795","-73.9837"
"2014-04-01 09:58:00","40.7148","-74.0162"
"2014-04-01 09:58:00","40.7438","-73.9759"
"2014-04-01 09:58:00","40.745","-73.9888"
"2014-04-01 10:01:00","40.7768","-73.9773"
"2014-04-01 10:01:00","40.7594","-73.966"
"2014-04-01 10:04:00","40.7741","-73.8726"
"2014-04-01 10:05:00","40.7367","-73.9907"
"2014-04-01 10:06:00","40.7368","-73.9847"
"2014-04-01 10:07:00","40.8079","-73.9638"
"2014-04-01 10:15:00","40.6678","-73.7956"
"2014-04-01 10:15:00","40.721","-74.0033"
"2014-04-01 10:15:00","40.7764","-73.9598"
"2014-04-01 10:18:00","40.7746","-73.9581"
"2014-04-01 10:18:00","40.7745","-73.9638"
"2014-04-01 10:22:00","40.7224","-73.9935"
"2014-04-01 10:22:00","40.7736","-73.9626"
"2014-04-01 10:23:00","40.7348","-73.9929"
"2014-04-01 10:27:00","40.7605","-73.9991"
"2014-04-01 10:27:00","40.6948","-74.1779"
"2014-04-01 10:29:00","40.7573","-73.9877"
"2014-04-01 10:32:00","40.6949","-74.1781"
"2014-04-01 10:32:00","40.6949","-74.1781"
"2014-04-01 10:32:00","40.7771","-73.9754"
"2014-04-01 10:33:00","40.7584","-73.989"
"2014-04-01 10:33:00","40.755","-73.9878"
"2014-04-01 10:34:00","40.7226","-74.0004"
"2014-04-01 10:34:00","40.774","-73.9607"
"2014-04-01 10:34:00","40.7718","-73.9654"
"2014-04-01 10:34:00","40.7748","-73.991"
"2014-04-01 10:36:00","40.775","-73.9595"
"2014-04-01 10:37:00","40.7636","-73.9636"
"2014-04-01 10:37:00","40.7743","-73.9847"
"2014-04-01 10:41:00","40.7688","-73.8627"
"2014-04-01 10:43:00","40.7254","-74.0071"
"2014-04-01 10:44:00","40.7534","-73.9748"
"2014-04-01 10:44:00","40.7773","-73.9595"
"2014-04-01 10:46:00","40.7233","-74.0062"
"2014-04-01 10:46:00","40.763","-73.9781"
"2014-04-01 10:48:00","40.7822","-73.9599"
"2014-04-01 10:53:00","40.6916","-73.9677"
"2014-04-01 10:54:00","40.7577","-73.9694"
"2014-04-01 10:55:00","40.7668","-73.9789"
"2014-04-01 10:58:00","40.7741","-73.9629"
"2014-04-01 10:59:00","40.7271","-74.0058"
"2014-04-01 10:59:00","40.7072","-74.0049"
"2014-04-01 11:01:00","40.7412","-73.9964"
"2014-04-01 11:01:00","40.7883","-74.0456"
"2014-04-01 11:01:00","40.7883","-74.0456"
"2014-04-01 11:02:00","40.7568","-73.9721"
"2014-04-01 11:02:00","40.7624","-73.9728"
"2014-04-01 11:02:00","40.7457","-73.9916"
"2014-04-01 11:03:00","40.7863","-73.9774"
"2014-04-01 11:04:00","40.7593","-73.9721"
"2014-04-01 11:05:00","40.7398","-73.9912"
"2014-04-01 11:06:00","40.8275","-74.0468"
"2014-04-01 11:06:00","40.8275","-74.0468"
"2014-04-01 11:06:00","40.7686","-73.9658"
"2014-04-01 11:09:00","40.7566","-73.9765"
"2014-04-01 11:11:00","40.7103","-73.9846"
"2014-04-01 11:12:00","40.7414","-73.9902"
"2014-04-01 11:13:00","40.7439","-73.9899"
"2014-04-01 11:14:00","40.7619","-73.973"
"2014-04-01 11:15:00","40.7201","-74.0041"
"2014-04-01 11:16:00","40.7329","-73.9913"
"2014-04-01 11:16:00","40.7582","-73.9815"
"2014-04-01 11:17:00","40.7747","-73.9584"
"2014-04-01 11:17:00","40.7775","-73.9612"
"2014-04-01 11:17:00","40.773","-73.9802"
"2014-04-01 11:18:00","40.7392","-73.9991"
"2014-04-01 11:20:00","40.7368","-73.9958"
"2014-04-01 11:21:00","40.8052","-73.9662"
"2014-04-01 11:22:00","40.7205","-74.0031"
"2014-04-01 11:22:00","40.7633","-73.9829"
"2014-04-01 11:24:00","40.6922","-73.9441"
"2014-04-01 11:25:00","40.7476","-73.9969"
"2014-04-01 11:28:00","40.7707","-73.9815"
"2014-04-01 11:33:00","40.7257","-73.9972"
"2014-04-01 11:33:00","40.7611","-73.9754"
"2014-04-01 11:34:00","40.7035","-74.0107"
"2014-04-01 11:34:00","40.7591","-73.996"
"2014-04-01 11:35:00","40.7419","-74.0036"
"2014-04-01 11:37:00","40.755","-73.9746"
"2014-04-01 11:39:00","40.7472","-73.9863"
"2014-04-01 11:40:00","40.7548","-73.9847"
"2014-04-01 11:41:00","40.7797","-73.9762"
"2014-04-01 11:41:00","40.7323","-74.0076"
"2014-04-01 11:42:00","40.7741","-73.8726"
"2014-04-01 11:43:00","40.7074","-74.0172"
"2014-04-01 11:44:00","40.6334","-73.9954"
"2014-04-01 11:45:00","40.71","-74.0114"
"2014-04-01 11:45:00","40.7386","-73.9897"
"2014-04-01 11:47:00","40.7095","-74.0156"
"2014-04-01 11:47:00","40.7024","-74.0133"
"2014-04-01 11:47:00","40.7581","-73.9619"
"2014-04-01 11:48:00","40.7685","-73.8625"
"2014-04-01 11:50:00","40.7389","-73.9874"
"2014-04-01 11:53:00","40.7736","-73.8716"
"2014-04-01 11:54:00","40.7154","-74.0163"
"2014-04-01 11:59:00","40.7599","-73.9804"
"2014-04-01 11:59:00","40.7559","-73.9874"
"2014-04-01 12:02:00","40.7852","-74.022"
"2014-04-01 12:02:00","40.7852","-74.022"
"2014-04-01 12:04:00","40.6878","-74.1817"
"2014-04-01 12:07:00","40.6864","-73.9747"
"2014-04-01 12:10:00","40.8289","-73.9451"
"2014-04-01 12:10:00","40.8289","-73.9451"
"2014-04-01 12:13:00","40.7672","-73.9682"
"2014-04-01 12:14:00","40.7498","-73.9816"
"2014-04-01 12:15:00","40.6751","-73.8016"
"2014-04-01 12:16:00","40.7544","-73.9692"
"2014-04-01 12:17:00","40.7685","-73.9535"
"2014-04-01 12:19:00","40.7684","-73.9599"
"2014-04-01 12:19:00","40.7728","-73.9673"
"2014-04-01 12:19:00","40.7702","-73.9577"
"2014-04-01 12:20:00","40.7647","-73.9796"
"2014-04-01 12:20:00","40.7868","-73.972"
"2014-04-01 12:20:00","40.7178","-74.0035"
"2014-04-01 12:24:00","40.7732","-73.8857"
"2014-04-01 12:26:00","40.7257","-73.9919"
"2014-04-01 12:26:00","40.695","-74.178"
"2014-04-01 12:27:00","40.7644","-73.9796"
"2014-04-01 12:29:00","40.7641","-73.9766"
"2014-04-01 12:29:00","40.723","-74.0012"
"2014-04-01 12:29:00","40.7326","-73.9935"
"2014-04-01 12:30:00","40.7569","-73.9742"
"2014-04-01 12:31:00","40.7622","-73.9788"
"2014-04-01 12:31:00","40.7785","-73.9533"
"2014-04-01 12:32:00","40.7447","-73.9873"
"2014-04-01 12:32:00","40.7191","-73.9973"
"2014-04-01 12:33:00","40.7031","-73.9853"
"2014-04-01 12:42:00","40.9148","-74.2213"
"2014-04-01 12:44:00","40.7649","-73.9708"
"2014-04-01 12:44:00","40.7521","-73.9756"
"2014-04-01 12:47:00","40.7374","-74.0008"
"2014-04-01 12:50:00","40.7749","-73.9639"
"2014-04-01 12:50:00","40.7763","-73.9621"
"2014-04-01 12:51:00","40.749","-74.0029"
"2014-04-01 12:51:00","40.7276","-74.0349"
"2014-04-01 12:51:00","40.7276","-74.0349"
"2014-04-01 12:51:00","40.7631","-73.9842"
"2014-04-01 12:52:00","40.7601","-73.9669"
"2014-04-01 12:53:00","40.8791","-73.8811"
"2014-04-01 12:54:00","40.771","-73.866"
"2014-04-01 12:57:00","40.7364","-74.0099"
"2014-04-01 12:57:00","40.7657","-73.9549"
"2014-04-01 12:57:00","40.75","-73.9757"
"2014-04-01 12:58:00","40.7397","-73.9857"
"2014-04-01 12:58:00","40.779","-74.42"
"2014-04-01 12:59:00","40.7273","-74.0007"
"2014-04-01 13:01:00","40.7684","-73.8624"
"2014-04-01 13:01:00","40.7393","-73.9954"
"2014-04-01 13:01:00","40.7382","-74.0078"
"2014-04-01 13:03:00","40.7187","-74.0024"
"2014-04-01 13:07:00","40.7618","-73.9752"
"2014-04-01 13:07:00","40.7851","-73.9538"
"2014-04-01 13:07:00","40.7851","-73.9538"
"2014-04-01 13:08:00","40.742","-73.985"
"2014-04-01 13:08:00","40.7458","-73.987"
"2014-04-01 13:09:00","40.7699","-73.9589"
"2014-04-01 13:09:00","40.76","-73.9839"
"2014-04-01 13:10:00","40.9155","-74.0761"
"2014-04-01 13:15:00","40.7516","-73.9739"
"2014-04-01 13:16:00","40.774","-73.8733"
"2014-04-01 13:17:00","40.7565","-73.9843"
"2014-04-01 13:17:00","40.7195","-74.0123"
"2014-04-01 13:18:00","40.7529","-73.9855"
"2014-04-01 13:20:00","40.7501","-73.9761"
"2014-04-01 13:22:00","40.7197","-73.9917"
"2014-04-01 13:22:00","40.7619","-73.9729"
"2014-04-01 13:23:00","40.783","-73.951"
"2014-04-01 13:24:00","40.7319","-73.9877"
"2014-04-01 13:26:00","40.7538","-73.9926"
"2014-04-01 13:26:00","40.7189","-74.0065"
"2014-04-01 13:27:00","40.7455","-73.988"
"2014-04-01 13:30:00","40.753","-74.0248"
"2014-04-01 13:30:00","40.753","-74.0248"
"2014-04-01 13:33:00","40.7646","-73.9686"
"2014-04-01 13:34:00","40.7692","-73.9829"
"2014-04-01 13:34:00","40.7275","-74.0088"
"2014-04-01 13:35:00","40.7494","-73.9923"
"2014-04-01 13:35:00","40.6957","-73.9872"
"2014-04-01 13:39:00","40.695","-74.1784"
"2014-04-01 13:40:00","40.7739","-73.8728"
"2014-04-01 13:40:00","40.7757","-73.4202"
"2014-04-01 13:40:00","40.7651","-73.9531"
"2014-04-01 13:41:00","40.7663","-73.9251"
"2014-04-01 13:42:00","40.7177","-73.9966"
"2014-04-01 13:44:00","40.78","-73.961"
"2014-04-01 13:45:00","40.7741","-73.8727"
"2014-04-01 13:47:00","40.7385","-73.9854"
"2014-04-01 13:49:00","40.7685","-73.8624"
"2014-04-01 13:49:00","40.6926","-73.9873"
"2014-04-01 13:51:00","40.7346","-73.9963"
"2014-04-01 13:51:00","40.776","-73.9441"
"2014-04-01 13:53:00","40.7211","-74.0005"
"2014-04-01 13:55:00","40.7026","-74.0126"
"2014-04-01 13:56:00","40.768","-73.9523"
"2014-04-01 13:56:00","40.7485","-74.0061"
"2014-04-01 13:56:00","40.7568","-73.9717"
"2014-04-01 13:57:00","40.7617","-73.9838"
"2014-04-01 13:57:00","40.774","-73.8728"
"2014-04-01 13:59:00","40.6919","-73.9966"
"2014-04-01 14:00:00","40.7754","-73.9905"
"2014-04-01 14:01:00","40.7515","-73.993"
"2014-04-01 14:02:00","40.7719","-73.9655"
"2014-04-01 14:03:00","40.7739","-73.8724"
"2014-04-01 14:03:00","40.6946","-74.1775"
"2014-04-01 14:04:00","40.7331","-73.9998"
"2014-04-01 14:05:00","40.7732","-73.8856"
"2014-04-01 14:06:00","40.7417","-73.9894"
"2014-04-01 14:08:00","40.7325","-74.0018"
"2014-04-01 14:11:00","40.764","-73.9685"
"2014-04-01 14:14:00","40.7577","-73.9723"
"2014-04-01 14:15:00","40.6953","-74.1783"
"2014-04-01 14:15:00","40.7572","-73.9841"
"2014-04-01 14:16:00","40.8056","-74.3923"
"2014-04-01 14:16:00","40.7595","-73.9736"
"2014-04-01 14:17:00","40.7853","-73.9556"
"2014-04-01 14:17:00","40.7853","-73.9556"
"2014-04-01 14:18:00","40.7244","-74.0007"
"2014-04-01 14:20:00","40.7196","-74.0006"
"2014-04-01 14:21:00","40.7691","-73.9812"
"2014-04-01 14:21:00","40.7516","-73.9909"
"2014-04-01 14:21:00","40.7677","-73.9657"
"2014-04-01 14:23:00","40.7546","-73.966"
